ticket_id,Data,Motivo,Responsável,Status,Hora Início,Hora Fim,Tempo de Conclusão (TMA),SLA_fila,Assertividade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#952012,1/7/2026,KYC/Reembolso,Bárbara,Aberto,3:06,3:10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951677,1/7/2026,KYC/Reembolso,Lucas,Aberto,3:07,3:08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950447,1/7/2026,Cassino,Lucas,Aberto,3:14,3:17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951968,1/7/2026,KYC/Reembolso,Bárbara,Em espera,3:15,3:16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#952194,1/7/2026,Giros,Lucas,Aberto,4:34,4:36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#952160,1/7/2026,Giros,Bárbara,Aberto,5:52,6:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#952242,1/7/2026,Aposta esportiva,Bárbara,Aberto,6:52,6:54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#952292,1/7/2026,Giros,Bárbara,Aberto,6:23,6:26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961993,1/8/2026,KYC/Reembolso,Bárbara,Aberto,19:38,19:44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#963654,1/9/2026,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,2:26,3:11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#963626,1/9/2026,Bloqueio/Fraude,Bárbara,Em espera,2:45,2:46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#963500,1/9/2026,Bloqueio/Fraude,Bárbara,Em espera,2:46,2:47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#962630,1/9/2026,KYC/Reembolso,Bárbara,Aberto,2:25,2:49,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#962678,1/9/2026,KYC/Reembolso,Bárbara,Aberto,3:09,3:11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#962578,1/9/2026,KYC/Reembolso,Lucas,Aberto,3:07,3:22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#962483,1/9/2026,KYC/Reembolso,Lucas,Aberto,3:12,3:15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#964251,1/9/2026,Indique e ganhe,Lucas,Aberto,3:24,3:51,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#962392,1/9/2026,KYC/Reembolso,Lucas,Aberto,3:36,3:45,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#965175,1/9/2026,PVE,Lucas,Aberto,4:13,5:50,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961845,1/9/2026,Cashback,Lucas,Em espera,3:57,4:07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961814,1/9/2026,Cashback,Lucas,Em espera,4:22,4:26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961327,1/9/2026,Erro Plataforma,Lucas,Aberto,4:29,4:39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961269,1/9/2026,Cashback,Lucas,Em espera,4:42,4:44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961248,1/9/2026,Cashback,Lucas,Aberto,4:45,5:26,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#961150,1/9/2026,Troca de E-mail,Lucas,Aberto,5:27,5:38,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#965188,1/9/2026,Bloqueio/Fraude,Bárbara,Aberto,5:44,5:50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#963765,1/9/2026,PVE,Lucas,Aberto,5:52,5:53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976466,1/10/2026,KYC/Reembolso,Lucas,Aberto,19:44,19:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976146,1/10/2026,Cashback,Lucas,Em espera,19:50,19:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976799,1/10/2026,Bloqueio/Fraude/Kyc,Lucas,Aberto,20:01,20:04,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976316,1/10/2026,KYC/Reembolso,Lucas,Aberto,20:22,20:25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#974960,1/10/2026,PVE,Lucas,Aberto,21:16,21:20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976942,1/10/2026,Cashback,Lucas,Em espera,21:42,21:46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#977033,1/10/2026,Cashback,Lucas,Aberto,21:59,22:03,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#977286,1/10/2026,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,22:06,22:14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#976888,1/10/2026,Cashback,Lucas,Em espera,22:16,22:17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#977309,1/10/2026,Cashback,Lucas,Em espera,23:17,23:22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#977497,1/11/2026,KYC/Reembolso,Lucas,Aberto,0:01,0:04,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#978511,1/11/2026,KYC/Reembolso,Bárbara,Aberto,3:04,3:14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#978215,1/11/2026,Campanhas/CRM,Bárbara,Aberto,3:53,3:55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#978801,1/11/2026,KYC/Reembolso,Bárbara,Aberto,5:37,5:39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#978823,1/11/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,5:55,6:14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#978839,1/11/2026,Campanhas/CRM,Bárbara,Aberto,6:45,6:55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#968008,1/12/2026,Campanhas/CRM,Bárbara,Em espera,19:27,19:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#969481,1/12/2026,Campanhas/CRM,Bárbara,Em espera,19:43,19:44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#983829,1/12/2026,Campanhas/CRM,Bárbara,Aberto,19:56,19:58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#984529,1/12/2026,Campanhas/CRM,Bárbara,Aberto,20:07,20:12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#984965,1/12/2026,Campanhas/CRM,Bárbara,Aberto,20:40,20:42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986681,1/12/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,20:52,20:55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986504,1/12/2026,Troca de E-mail,Bárbara,Aberto,20:55,20:59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986482,1/12/2026,KYC/Reembolso,Bárbara,Aberto,21:11,21:14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
