"ticket_id","Data_iso","inicio_dt","fim_dt","tempo_min","Data","Motivo","Responsável","Status","Hora Início","Hora Fim","Tempo de Conclusão (TMA)","SLA_fila","Assertividade"
"#994048","2026-01-15","2026-01-15 04:48:00","2026-01-15 04:50:00","2","1/15/2026","Cashback","Lucas","Em espera","04:48","04:50","2","",""
"#995286","2026-01-15","2026-01-15 04:59:00","2026-01-15 05:00:00","1","1/15/2026","Cashback","Lucas","Em espera","04:59","05:00","1","",""
"#995077","2026-01-15","2026-01-15 05:05:00","2026-01-15 05:06:00","1","1/15/2026","Cashback","Lucas","Em espera","05:05","05:06","1","",""
"#994896","2026-01-15","2026-01-15 05:12:00","2026-01-15 06:27:00","75","1/15/2026","Erro Plataforma","Lucas","Em espera","05:12","06:27","75","",""
"#994000","2026-01-15","2026-01-15 05:29:00","2026-01-15 05:30:00","1","1/15/2026","Cashback","Lucas","Em espera","05:29","05:30","1","",""
"#995211","2026-01-15","2026-01-15 05:49:00","2026-01-15 05:52:00","3","1/15/2026","Financeiro (Depósito, saque e Devolução)","Lucas","Aberto","05:49","05:52","3","",""
"#852569","2026-01-15","2026-01-15 01:14:00","2026-01-15 01:15:00","1","1/15/2026","Cashback","Bárbara","Em espera","01:14","01:15","1","",""
"#983905","2026-01-15","2026-01-15 03:34:00","2026-01-15 03:38:00","4","1/15/2026","Cashback","Bárbara","Aberto","03:34","03:38","4","",""
"#984574","2026-01-15","2026-01-15 03:57:00","2026-01-15 04:00:00","3","1/15/2026","Cashback","Bárbara","Aberto","03:57","04:00","3","",""
"#996879","2026-01-15","2026-01-15 03:57:00","2026-01-15 04:00:00","3","1/15/2026","Giros","Bárbara","Aberto","03:57","04:00","3","",""
"#989576","2026-01-15","2026-01-15 04:16:00","2026-01-15 04:17:00","1","1/15/2026","Cashback","Bárbara","Aberto","04:16","04:17","1","",""
"#990514","2026-01-15","","","","1/15/2026","Cashback","Bárbara","Aberto","","","","",""
"#995492","2026-01-15","2026-01-15 04:59:00","","","1/15/2026","Cashback","Bárbara","Aberto","04:59","","","",""
"#/997466","2026-01-15","2026-01-15 05:03:00","2026-01-15 05:13:00","10","1/15/2026","Troca de E-mail","Bárbara","Aberto","05:03","05:13","10","",""
